남자	45 - 49세	425428	460921	508714	515050	554141	496405	518017	559889	628934	649961	868659	1042989	1100966	1114378	1163242	1217250	1254559	1290647	1328522	1373860	1470615	1597944	1707414	1810192	1921769	2021726	2118789	2194685	2223951	2222229	2196291	2156068	2120985	2132558	2178993	2214502	2255899	2294774	2299107	2274031	2224690	2145192	2065095	1992320	1940538	1960711	2004285	2052418	2069495	2047012	1961583	1875159	1778122	1705856	1678416	1687762	1697166	1748342	1809918	1854238	1884094	1910130	1890142	1853135	1805437	1763516	1711314	1631850	1543386	1469954	1377435	1292651	1259341	1259373	1244843	1243970	1265066	1272977	1261345	1252481	1250551	1224504	1180836	1123310	1065396	988357	907837	842319	789308	744918	716747
남자	50 - 54세	347447	379603	409120	445617	451506	337483	444283	465588	506554	576664	609166	809619	994511	1090104	1085158	1070289	1056264	1046131	1065339	1112912	1166811	1204911	1241331	1279364	1325468	1421545	1547434	1658052	1766719	1884660	1987063	2084985	2160551	2187739	2184689	2159896	2121310	2088050	2100952	2146978	2184220	2228227	2266516	2277834	2246290	2202213	2118286	2045909	1981977	1931906	1952541	1996469	2044925	2062502	2040670	1956258	1870738	1774645	1703078	1676100	1685814	1695678	1747112	1809003	1853732	1883992	1910386	1890914	1854332	1807006	1765396	1713531	1634388	1546160	1472879	1380576	1295925	1262646	1262788	1248461	1247714	1268950	1277076	1265639	1256889	1255069	1229165	1185563	1128042	1070076	992982
남자	55 - 59세	291999	305594	334045	355954	366961	295560	318745	376426	407895	449224	521797	560580	760993	832892	876415	905945	931788	984122	1022821	1020632	1009526	998978	992520	1014229	1062288	1116000	1155201	1193630	1235411	1285563	1382357	1507151	1616101	1721494	1836247	1937358	2034279	2110123	2138816	2136895	2115455	2081329	2049472	2030226	2111153	2136360	2182630	2221410	2247680	2218886	2176606	2094938	2024463	1962315	1913829	1935201	1979691	2028672	2046987	2026099	1943170	1858986	1764267	1693759	1667481	1677672	1688087	1739798	1801979	1847114	1877799	1904577	1885750	1849769	1803008	1761901	1710576	1631974	1544196	1471256	1379393	1295088	1261961	1262282	1248236	1247660	1269052	1277417	1266233	1257644	1255973
남자	60 - 64세	231498	235138	248205	270603	293122	217405	257447	248035	302362	334479	373222	440387	494845	539051	572527	618156	670609	717161	759107	801157	831193	858339	910380	949423	950918	944510	939135	938689	965080	1015578	1069407	1107881	1145902	1186814	1236224	1331686	1453903	1561178	1665402	1778062	1878929	1976075	2050119	2099546	2077911	2057110	2010146	2011870	1981846	2062703	2089172	2136064	2175560	2202801	2176264	2136113	2057262	1989197	1929284	1882794	1905110	1950279	1999833	2019046	1999378	1918350	1835893	1742979	1673866	1648485	1659244	1670306	1722290	1784741	1830312	1861505	1888764	1870777	1835608	1789627	1749231	1698666	1620848	1533776	1461393	1370186	1286414	1253550	1254104	1240415	1240068
남자	65 - 69세	181586	171553	179466	186391	200965	156091	174206	182750	181431	229780	260597	306710	375752	375044	387036	402920	419819	442531	469609	501498	544427	593391	637169	677211	718220	749324	778285	830647	872145	879148	877420	875945	879626	908015	958043	1010889	1048876	1087298	1128819	1177940	1271779	1390963	1494388	1585219	1700710	1786562	1906821	1950999	2011098	1993033	1975401	1932791	1936488	1909957	1990412	2018459	2066311	2106772	2135179	2111471	2074099	1998952	1934077	1877197	1833474	1857033	1902904	1952988	1973098	1954783	1876199	1796152	1705839	1638817	1614787	1626345	1638266	1690578	1753239	1799205	1830924	1858676	1841734	1807705	1762862	1723497	1674031	1597377	1511410	1439955	1349867
남자	70 - 74세	94614	114519	113398	115515	136940	80971	120719	104987	120835	123219	161867	190553	233308	267317	279532	286155	290855	294898	301299	313532	328956	345307	366650	391942	421796	461654	506635	547610	586226	626301	657441	686847	737953	779034	789396	791986	794689	803598	834873	883751	934279	970430	1006369	1050102	1092815	1190740	1299346	1380954	1484271	1594983	1679363	1795983	1840145	1899887	1884978	1871277	1834301	1840484	1818482	1898033	1927780	1976422	2017481	2046887	2026737	1992804	1922518	1861943	1809130	1769113	1794168	1840607	1890941	1911848	1895134	1820041	1743653	1657373	1593607	1571594	1584192	1597176	1649702	1712306	1758500	1790657	1818800	1803201	1770770	1727600	1689844
남자	75 - 79세	45498	50191	62583	56882	65901	63834	55635	62232	60931	68241	74175	103513	127905	145678	152025	160008	168109	178143	190905	201003	206776	211277	216166	223246	235148	249944	265102	284446	307567	334940	370465	409659	445317	479575	516035	545835	574870	623318	662915	675845	682114	688442	700270	726761	773988	822910	864803	903733	938277	979312	1071490	1171439	1248449	1344919	1447764	1528964	1639111	1681917	1739956	1728313	1719595	1690362	1699095	1683201	1760412	1791670	1840556	1881529	1911277	1895657	1866139	1802889	1748643	1701937	1667547	1694561	1741319	1791472	1813089	1798367	1728661	1658123	1578482	1520136	1501410	1515459	1529899	1582277	1644063	1689959	1722297
남자	80 - 84세	12674	20323	25380	29123	24464		25744	20423	26355	26304	31546	36163	54861				76770	81332	85757	90329	96027	101961	109357	118727	126506	131641	136109	141170	147805	158094	170484	182886	198522	217303	239458	267805	299052	328109	356227	386770	413379	439372	478563	517770	526011	538403	531466	555282	582570	623106	665060	698250	734046	766086	803098	884617	969347	1037277	1120989	1209411	1283522	1381057	1419089	1472039	1463690	1461188	1442886	1454232	1446791	1517910	1549643	1596845	1635566	1664066	1654844	1631671	1579792	1535940	1499427	1474406	1503974	1550001	1598270	1619679	1607415	1546953	1486836	1419269	1370649	1357470	1373424
남자	85 - 89세	2913				11121		8186	7932	8526	10843	11296	15140	18830								33595	35287	37836	40263	43225	47053	51044	55978	61854	66732	70007	72911	76553	81430	88734	97021	105433	116596	129511	144408	163454	184245	202017	225017	247185	265468	283359	313388	339951	345825	354853	350341	371222	394264	423917	454604	476091	504869	530687	559535	622519	683980	735713	798334	863671	922835	997792	1026278	1068206	1062447	1065514	1059132	1071250	1072505	1130584	1159332	1200113	1232444	1256511	1254396	1239353	1203613	1174324	1151861	1139265	1169355	1210539	1252205	1270628	1260992	1215183
남자	90 - 94세																					8531	9363	10079	10654	11110	11497	12174	13223	14326	15787	17641	19488	21711	24581	27027	28401	29490	31290	33835	37636	42101	46457	51075	58645	66452	76720	87576	97987	107941	119312	128829	138296	154655	168774	171517	176317	173811	188021	202926	219370	236427	246261	264276	280301	297571	335562	369444	399742	435662	472476	509193	553739	569100	594703	590732	596173	598040	607628	613565	651199	671574	699385	720161	735782	738207	730656	711971	697668	688779	686912	711625
남자	95 - 99세																					928	1045	1205	1410	1679	2035	2296	2481	2664	2772	2868	2996	3254	3563	4032	4659	5263	6072	7027	7672	7951	8189	8477	9452	11019	12215	13483	15518	17721	20315	23649	27110	30477	33672	37469	40661	43897	49776	54630	55225	56837	55832	62173	68379	74237	80320	82875	90372	96814	103463	118672	130727	142245	155717	169296	184361	201836	206667	216983	214714	218555	221761	226449	230994	247461	256713	269099	277566	283996	286450	283759
남자	100세 이상																					181	170	170	163	161	176	193	216	242	308	385	424	458	506	541	561	584	607	638	735	894	1020	1104	1244	1243	1231	1255	1396	1581	1855	2042	2247	2623	3027	3512	4112	4723	5342	5923	6649	7272	7914	9114	10049	10112	10453	10277	11893	13306	14386	15562	15826	17688	19187	20631	24054	26356	28882	31757	34610	38282	42196	43064	45617	45158	46735	48273	49464	51102	54985	57330
여자	0 - 4세	1509533	1620443	1807454	1923501	2119472	1633870	1729252	2162257	2087407	2037904	1830729	1779797	1552927	1573676	1611571	1646951	1662073	1649544	1621416	1583913	1552100	1510736	1439747	1361886	1293505	1212727	1139370	1114945	1111847	1101288	1104770	1121688	1128067	1122184	1116768	1109714	1088862	1043359	987150	929971	857459	780737	720392	669679	625977	598709	587667	589539	604250	630045	659956	687549	712264	733642	751456	765739	774101	774560	768174	756089	739435	721885	706692	693960	683433	674520	666369	658020	648558	637248	623639	607608	589352	569347	548300	527075	506611	487836	471579	458481	448933	443047	440650	441319	444439	449280	455066	461051	466576	471109	474278
